city,date,keyword,type,value
上海,2016-07-01,紧凑型车,all,61
上海,2016-07-02,紧凑型车,all,0
上海,2016-07-03,紧凑型车,all,61
上海,2016-07-04,紧凑型车,all,64
上海,2016-07-05,紧凑型车,all,121
上海,2016-07-06,紧凑型车,all,59
上海,2016-07-07,紧凑型车,all,118
上海,2016-07-08,紧凑型车,all,118
上海,2016-07-09,紧凑型车,all,64
上海,2016-07-10,紧凑型车,all,118
上海,2016-07-11,紧凑型车,all,61
上海,2016-07-12,紧凑型车,all,0
上海,2016-07-13,紧凑型车,all,120
上海,2016-07-14,紧凑型车,all,59
上海,2016-07-15,紧凑型车,all,120
广州,2016-07-01,紧凑型车,all,114
广州,2016-07-02,紧凑型车,all,0
广州,2016-07-03,紧凑型车,all,61
广州,2016-07-04,紧凑型车,all,118
广州,2016-07-05,紧凑型车,all,118
广州,2016-07-06,紧凑型车,all,61
广州,2016-07-07,紧凑型车,all,114
广州,2016-07-08,紧凑型车,all,64
广州,2016-07-09,紧凑型车,all,57
广州,2016-07-10,紧凑型车,all,120
广州,2016-07-11,紧凑型车,all,121
广州,2016-07-12,紧凑型车,all,116
广州,2016-07-13,紧凑型车,all,120
广州,2016-07-14,紧凑型车,all,118
广州,2016-07-15,紧凑型车,all,118
昆明,2016-07-01,紧凑型车,all,57
昆明,2016-07-02,紧凑型车,all,0
昆明,2016-07-03,紧凑型车,all,57
昆明,2016-07-04,紧凑型车,all,57
昆明,2016-07-05,紧凑型车,all,0
昆明,2016-07-06,紧凑型车,all,0
昆明,2016-07-07,紧凑型车,all,57
昆明,2016-07-08,紧凑型车,all,57
昆明,2016-07-09,紧凑型车,all,57
昆明,2016-07-10,紧凑型车,all,57
昆明,2016-07-11,紧凑型车,all,114
昆明,2016-07-12,紧凑型车,all,0
昆明,2016-07-13,紧凑型车,all,0
昆明,2016-07-14,紧凑型车,all,0
昆明,2016-07-15,紧凑型车,all,0
北京,2016-07-01,紧凑型车,all,120
北京,2016-07-02,紧凑型车,all,123
北京,2016-07-03,紧凑型车,all,68
北京,2016-07-04,紧凑型车,all,66
北京,2016-07-05,紧凑型车,all,122
北京,2016-07-06,紧凑型车,all,120
北京,2016-07-07,紧凑型车,all,114
北京,2016-07-08,紧凑型车,all,120
北京,2016-07-09,紧凑型车,all,129
北京,2016-07-10,紧凑型车,all,66
北京,2016-07-11,紧凑型车,all,116
北京,2016-07-12,紧凑型车,all,64
北京,2016-07-13,紧凑型车,all,122
北京,2016-07-14,紧凑型车,all,123
北京,2016-07-15,紧凑型车,all,118
成都,2016-07-01,紧凑型车,all,125
成都,2016-07-02,紧凑型车,all,57
成都,2016-07-03,紧凑型车,all,61
成都,2016-07-04,紧凑型车,all,121
成都,2016-07-05,紧凑型车,all,61
成都,2016-07-06,紧凑型车,all,118
成都,2016-07-07,紧凑型车,all,61
成都,2016-07-08,紧凑型车,all,59
成都,2016-07-09,紧凑型车,all,57
成都,2016-07-10,紧凑型车,all,0
成都,2016-07-11,紧凑型车,all,57
成都,2016-07-12,紧凑型车,all,123
成都,2016-07-13,紧凑型车,all,57
成都,2016-07-14,紧凑型车,all,114
成都,2016-07-15,紧凑型车,all,59
贵阳,2016-07-01,紧凑型车,all,0
贵阳,2016-07-02,紧凑型车,all,0
贵阳,2016-07-03,紧凑型车,all,0
贵阳,2016-07-04,紧凑型车,all,0
贵阳,2016-07-05,紧凑型车,all,0
贵阳,2016-07-06,紧凑型车,all,0
贵阳,2016-07-07,紧凑型车,all,0
贵阳,2016-07-08,紧凑型车,all,0
贵阳,2016-07-09,紧凑型车,all,0
贵阳,2016-07-10,紧凑型车,all,0
贵阳,2016-07-11,紧凑型车,all,0
贵阳,2016-07-12,紧凑型车,all,0
贵阳,2016-07-13,紧凑型车,all,0
贵阳,2016-07-14,紧凑型车,all,57
贵阳,2016-07-15,紧凑型车,all,0
青岛,2016-07-01,紧凑型车,all,57
青岛,2016-07-02,紧凑型车,all,57
青岛,2016-07-03,紧凑型车,all,57
青岛,2016-07-04,紧凑型车,all,57
青岛,2016-07-05,紧凑型车,all,57
青岛,2016-07-06,紧凑型车,all,0
青岛,2016-07-07,紧凑型车,all,57
青岛,2016-07-08,紧凑型车,all,114
青岛,2016-07-09,紧凑型车,all,0
青岛,2016-07-10,紧凑型车,all,0
青岛,2016-07-11,紧凑型车,all,57
青岛,2016-07-12,紧凑型车,all,57
青岛,2016-07-13,紧凑型车,all,57
青岛,2016-07-14,紧凑型车,all,0
青岛,2016-07-15,紧凑型车,all,64
南京,2016-07-01,紧凑型车,all,57
南京,2016-07-02,紧凑型车,all,57
南京,2016-07-03,紧凑型车,all,57
南京,2016-07-04,紧凑型车,all,0
南京,2016-07-05,紧凑型车,all,59
南京,2016-07-06,紧凑型车,all,0
南京,2016-07-07,紧凑型车,all,57
南京,2016-07-08,紧凑型车,all,57
南京,2016-07-09,紧凑型车,all,0
南京,2016-07-10,紧凑型车,all,0
南京,2016-07-11,紧凑型车,all,116
南京,2016-07-12,紧凑型车,all,57
南京,2016-07-13,紧凑型车,all,57
南京,2016-07-14,紧凑型车,all,57
南京,2016-07-15,紧凑型车,all,57
兰州,2016-07-01,紧凑型车,all,0
兰州,2016-07-02,紧凑型车,all,0
兰州,2016-07-03,紧凑型车,all,0
兰州,2016-07-04,紧凑型车,all,0
兰州,2016-07-05,紧凑型车,all,0
兰州,2016-07-06,紧凑型车,all,0
兰州,2016-07-07,紧凑型车,all,0
兰州,2016-07-08,紧凑型车,all,0
兰州,2016-07-09,紧凑型车,all,0
兰州,2016-07-10,紧凑型车,all,0
兰州,2016-07-11,紧凑型车,all,0
兰州,2016-07-12,紧凑型车,all,0
兰州,2016-07-13,紧凑型车,all,0
兰州,2016-07-14,紧凑型车,all,0
兰州,2016-07-15,紧凑型车,all,0
武汉,2016-07-01,紧凑型车,all,57
武汉,2016-07-02,紧凑型车,all,0
武汉,2016-07-03,紧凑型车,all,118
武汉,2016-07-04,紧凑型车,all,114
武汉,2016-07-05,紧凑型车,all,118
武汉,2016-07-06,紧凑型车,all,121
武汉,2016-07-07,紧凑型车,all,57
武汉,2016-07-08,紧凑型车,all,59
武汉,2016-07-09,紧凑型车,all,61
武汉,2016-07-10,紧凑型车,all,61
武汉,2016-07-11,紧凑型车,all,59
武汉,2016-07-12,紧凑型车,all,57
武汉,2016-07-13,紧凑型车,all,57
武汉,2016-07-14,紧凑型车,all,57
武汉,2016-07-15,紧凑型车,all,57
长沙,2016-07-01,紧凑型车,all,57
长沙,2016-07-02,紧凑型车,all,61
长沙,2016-07-03,紧凑型车,all,59
长沙,2016-07-04,紧凑型车,all,57
长沙,2016-07-05,紧凑型车,all,59
长沙,2016-07-06,紧凑型车,all,116
长沙,2016-07-07,紧凑型车,all,57
长沙,2016-07-08,紧凑型车,all,0
长沙,2016-07-09,紧凑型车,all,57
长沙,2016-07-10,紧凑型车,all,57
长沙,2016-07-11,紧凑型车,all,118
长沙,2016-07-12,紧凑型车,all,61
长沙,2016-07-13,紧凑型车,all,57
长沙,2016-07-14,紧凑型车,all,59
长沙,2016-07-15,紧凑型车,all,114
南宁,2016-07-01,紧凑型车,all,57
南宁,2016-07-02,紧凑型车,all,0
南宁,2016-07-03,紧凑型车,all,57
南宁,2016-07-04,紧凑型车,all,0
南宁,2016-07-05,紧凑型车,all,0
南宁,2016-07-06,紧凑型车,all,57
南宁,2016-07-07,紧凑型车,all,114
南宁,2016-07-08,紧凑型车,all,59
南宁,2016-07-09,紧凑型车,all,57
南宁,2016-07-10,紧凑型车,all,57
南宁,2016-07-11,紧凑型车,all,0
南宁,2016-07-12,紧凑型车,all,0
南宁,2016-07-13,紧凑型车,all,59
南宁,2016-07-14,紧凑型车,all,57
南宁,2016-07-15,紧凑型车,all,0
深圳,2016-07-01,紧凑型车,all,121
深圳,2016-07-02,紧凑型车,all,57
深圳,2016-07-03,紧凑型车,all,57
深圳,2016-07-04,紧凑型车,all,57
深圳,2016-07-05,紧凑型车,all,59
深圳,2016-07-06,紧凑型车,all,57
深圳,2016-07-07,紧凑型车,all,114
深圳,2016-07-08,紧凑型车,all,59
深圳,2016-07-09,紧凑型车,all,0
深圳,2016-07-10,紧凑型车,all,57
深圳,2016-07-11,紧凑型车,all,114
深圳,2016-07-12,紧凑型车,all,114
深圳,2016-07-13,紧凑型车,all,0
深圳,2016-07-14,紧凑型车,all,114
深圳,2016-07-15,紧凑型车,all,57
重庆,2016-07-01,紧凑型车,all,59
重庆,2016-07-02,紧凑型车,all,0
重庆,2016-07-03,紧凑型车,all,114
重庆,2016-07-04,紧凑型车,all,57
重庆,2016-07-05,紧凑型车,all,0
重庆,2016-07-06,紧凑型车,all,57
重庆,2016-07-07,紧凑型车,all,57
重庆,2016-07-08,紧凑型车,all,0
重庆,2016-07-09,紧凑型车,all,57
重庆,2016-07-10,紧凑型车,all,57
重庆,2016-07-11,紧凑型车,all,57
重庆,2016-07-12,紧凑型车,all,122
重庆,2016-07-13,紧凑型车,all,57
重庆,2016-07-14,紧凑型车,all,0
重庆,2016-07-15,紧凑型车,all,57
西安,2016-07-01,紧凑型车,all,0
西安,2016-07-02,紧凑型车,all,57
西安,2016-07-03,紧凑型车,all,57
西安,2016-07-04,紧凑型车,all,57
西安,2016-07-05,紧凑型车,all,57
西安,2016-07-06,紧凑型车,all,57
西安,2016-07-07,紧凑型车,all,57
西安,2016-07-08,紧凑型车,all,59
西安,2016-07-09,紧凑型车,all,57
西安,2016-07-10,紧凑型车,all,57
西安,2016-07-11,紧凑型车,all,57
西安,2016-07-12,紧凑型车,all,61
西安,2016-07-13,紧凑型车,all,57
西安,2016-07-14,紧凑型车,all,114
西安,2016-07-15,紧凑型车,all,114
大连,2016-07-01,紧凑型车,all,57
大连,2016-07-02,紧凑型车,all,0
大连,2016-07-03,紧凑型车,all,0
大连,2016-07-04,紧凑型车,all,0
大连,2016-07-05,紧凑型车,all,0
大连,2016-07-06,紧凑型车,all,0
大连,2016-07-07,紧凑型车,all,0
大连,2016-07-08,紧凑型车,all,0
大连,2016-07-09,紧凑型车,all,0
大连,2016-07-10,紧凑型车,all,0
大连,2016-07-11,紧凑型车,all,57
大连,2016-07-12,紧凑型车,all,0
大连,2016-07-13,紧凑型车,all,61
大连,2016-07-14,紧凑型车,all,0
大连,2016-07-15,紧凑型车,all,0
上海,2016-07-01,suv,all,500
上海,2016-07-02,suv,all,480
上海,2016-07-03,suv,all,542
上海,2016-07-04,suv,all,525
上海,2016-07-05,suv,all,506
上海,2016-07-06,suv,all,532
上海,2016-07-07,suv,all,551
上海,2016-07-08,suv,all,542
上海,2016-07-09,suv,all,568
上海,2016-07-10,suv,all,557
上海,2016-07-11,suv,all,573
上海,2016-07-12,suv,all,506
上海,2016-07-13,suv,all,546
上海,2016-07-14,suv,all,536
上海,2016-07-15,suv,all,568
广州,2016-07-01,suv,all,482
广州,2016-07-02,suv,all,477
广州,2016-07-03,suv,all,486
广州,2016-07-04,suv,all,453
广州,2016-07-05,suv,all,422
广州,2016-07-06,suv,all,472
广州,2016-07-07,suv,all,473
广州,2016-07-08,suv,all,496
广州,2016-07-09,suv,all,503
广州,2016-07-10,suv,all,482
广州,2016-07-11,suv,all,513
广州,2016-07-12,suv,all,465
广州,2016-07-13,suv,all,460
广州,2016-07-14,suv,all,489
广州,2016-07-15,suv,all,488
昆明,2016-07-01,suv,all,269
昆明,2016-07-02,suv,all,262
昆明,2016-07-03,suv,all,284
昆明,2016-07-04,suv,all,246
昆明,2016-07-05,suv,all,247
昆明,2016-07-06,suv,all,257
昆明,2016-07-07,suv,all,244
昆明,2016-07-08,suv,all,254
昆明,2016-07-09,suv,all,253
昆明,2016-07-10,suv,all,268
昆明,2016-07-11,suv,all,259
昆明,2016-07-12,suv,all,258
昆明,2016-07-13,suv,all,233
昆明,2016-07-14,suv,all,269
昆明,2016-07-15,suv,all,297
北京,2016-07-01,suv,all,673
北京,2016-07-02,suv,all,781
北京,2016-07-03,suv,all,766
北京,2016-07-04,suv,all,751
北京,2016-07-05,suv,all,815
北京,2016-07-06,suv,all,794
北京,2016-07-07,suv,all,745
北京,2016-07-08,suv,all,778
北京,2016-07-09,suv,all,710
北京,2016-07-10,suv,all,807
北京,2016-07-11,suv,all,793
北京,2016-07-12,suv,all,760
北京,2016-07-13,suv,all,714
北京,2016-07-14,suv,all,763
北京,2016-07-15,suv,all,710
成都,2016-07-01,suv,all,557
成都,2016-07-02,suv,all,537
成都,2016-07-03,suv,all,538
成都,2016-07-04,suv,all,549
成都,2016-07-05,suv,all,541
成都,2016-07-06,suv,all,592
成都,2016-07-07,suv,all,489
成都,2016-07-08,suv,all,537
成都,2016-07-09,suv,all,508
成都,2016-07-10,suv,all,532
成都,2016-07-11,suv,all,515
成都,2016-07-12,suv,all,506
成都,2016-07-13,suv,all,523
成都,2016-07-14,suv,all,513
成都,2016-07-15,suv,all,526
贵阳,2016-07-01,suv,all,186
贵阳,2016-07-02,suv,all,148
贵阳,2016-07-03,suv,all,154
贵阳,2016-07-04,suv,all,175
贵阳,2016-07-05,suv,all,169
贵阳,2016-07-06,suv,all,186
贵阳,2016-07-07,suv,all,175
贵阳,2016-07-08,suv,all,181
贵阳,2016-07-09,suv,all,168
贵阳,2016-07-10,suv,all,195
贵阳,2016-07-11,suv,all,174
贵阳,2016-07-12,suv,all,172
贵阳,2016-07-13,suv,all,158
贵阳,2016-07-14,suv,all,192
贵阳,2016-07-15,suv,all,188
青岛,2016-07-01,suv,all,231
青岛,2016-07-02,suv,all,219
青岛,2016-07-03,suv,all,245
青岛,2016-07-04,suv,all,222
青岛,2016-07-05,suv,all,236
青岛,2016-07-06,suv,all,229
青岛,2016-07-07,suv,all,235
青岛,2016-07-08,suv,all,222
青岛,2016-07-09,suv,all,231
青岛,2016-07-10,suv,all,222
青岛,2016-07-11,suv,all,240
青岛,2016-07-12,suv,all,220
青岛,2016-07-13,suv,all,216
